month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r09_hyperband_010009,freq_4pw_r11_island_2024_002436,sparse_0pw_r01_smac_018790,sparse_0pw_r07_hyperband_019621,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2021-12,111.61927232000232,-430.6926034834811,1336.3470596764364,0.0,0.0,0.0,640.1811119330564,0.0,1657.454840446014
2022-01,1286.1741910701505,116.74469471078669,0.0,-368.1444334600012,1321.4784867030535,0.0,710.5354670899968,1022.5308048999984,4089.3192110139853
2022-02,471.7868265756258,-457.7465105856301,0.0,0.0,0.0,0.0,0.0,-365.4602778899989,-351.4199619000032
2022-03,-527.0679051376663,-874.5047186223298,0.0,-486.24295538000246,0.0,0.0,0.0,-719.9906279200023,-2607.806207060001
2022-04,349.8681499664219,842.3058603952202,0.0,0.0,0.0,-762.6982351400005,-324.064682141633,0.0,105.41109308000858
2022-05,460.8707075784731,904.8182294815277,0.0,0.0,541.0043556249997,0.0,-398.5282438399997,0.0,1508.1650488450007
2022-06,1105.4513552175615,249.56635566056792,2979.125732016752,-439.9999092500007,511.90881100000286,0.0,1003.2295541551229,0.0,5409.281898800006
2022-07,551.7579439188291,373.9967259045059,0.0,0.0,-604.3816719000009,194.62860384462613,-1243.375114750002,0.0,-727.3735129820418
2022-08,823.1676110200173,965.9823098177363,0.0,0.0,0.0,1880.8774407122448,693.5726729999955,-443.12912979999805,3920.4709047499955
2022-09,-696.6362548027131,-2689.4619921626377,-721.8523154500028,0.0,-943.9198751996306,0.0,0.0,0.0,-5051.870437614984
2022-10,1174.5036913035667,1411.6920207414312,0.0,3151.696267500001,-464.64202174504885,-519.2906712000001,1014.5329287499784,1939.2269645999934,7707.7191799499205
2022-11,-667.5839807875751,-59.30252555056613,0.0,0.0,2279.622771999996,-396.6789488734198,0.0,3398.745963650001,4554.803280438437
2022-12,4026.5063219900835,1727.0820697125007,3983.9478294515793,0.0,503.59000169999456,-1936.6842625999902,-1017.9120779141948,-1466.3961158500097,5820.133766489963
2023-01,-2542.012366082961,2393.8340940246203,-1182.1835447705064,0.0,2104.727771410004,1812.5004843,0.0,4724.150553030005,7311.016991911161
2023-02,-1462.5289947318154,3202.6685636793236,0.0,0.0,-277.00539909000065,-1348.0643087050078,6004.549598884996,0.0,6119.619460037496
2023-03,-2502.8149864498264,5898.372271345092,10489.735637924829,0.0,-845.9452415899989,-354.7408469625843,1322.6076441800114,-2373.573586451271,11633.640891996249
