strategy,trades,pnl,win_rate,profit_factor,liquidation_events,long_pnl,short_pnl,pnl_2025_12,pnl_2026_04
freq_4pw_r03_catcma_011465,1298,96384.63826168647,25.115562403698,1.096709783047316,8,104727.2898807129,-8342.65161902639,-47988.353813678754,-89104.64685175342
sparse_0pw_r07_hyperband_019621,112,94099.75896625248,41.964285714285715,1.2181815795530273,3,-62988.491160957914,157088.25012721046,-18782.874861650125,-64611.9695010877
freq_4pw_r02_hyperband_004678,1582,69916.03942551726,34.13400758533502,1.0591113066173248,7,0.0,69916.03942551726,-3142.883039878218,-30578.64317501171
freq_4pw_r09_hyperband_010009,16,56971.62295234582,56.25,2.7931199933544035,1,4981.9013237723575,51989.72162857346,0.0,0.0
sparse_0pw_r12_hyperband_017877,84,40363.25811237072,36.904761904761905,1.1670337361297272,2,12234.091699503653,28129.16641286709,-53412.51712966592,-12742.80316356255
freq_4pw_r11_island_2024_002436,31,7669.51259321977,25.806451612903224,1.036896057403502,0,65156.792645720896,-57487.28005250114,-19036.03888269993,0.0
sparse_0pw_r01_smac_018790,76,-7204.542776022443,47.368421052631575,0.9539486469679481,0,-7690.310355617592,485.76757959515,-17168.83625477531,-20516.29515257781
sparse_0pw_r11_island_2024_021423,93,-28123.366064507365,37.634408602150536,0.9372505769303292,1,-18254.20243922374,-9869.163625283658,-19546.82708861718,-20825.48815005083
