strategy,trades,pnl,win_rate,profit_factor,liquidation_events,long_pnl,short_pnl,pnl_2025_12,pnl_2026_04
freq_4pw_r03_catcma_011465,1306,18666.003820116865,24.42572741194487,1.0951095833610969,9,12730.656745032185,5935.347075084679,-5961.646384489797,-12770.94951960879
freq_4pw_r02_hyperband_004678,1572,13182.759470681707,33.587786259541986,1.0581111411485151,6,0.0,13182.759470681707,-991.533081129027,-2320.489059517572
sparse_0pw_r07_hyperband_019621,125,10391.795457589458,42.4,1.3647258941835096,4,-650.3597849832768,11042.155242572735,-611.3317575240949,-2518.178192839763
freq_4pw_r09_hyperband_010009,17,5018.067745626321,47.05882352941176,2.2288214586760815,1,134.95259384678127,4883.1151517795415,0.0,0.0
sparse_0pw_r06_hyperband_001552,98,3969.837124849366,31.63265306122449,1.1241309815043217,1,1166.578775517546,2803.2583493318207,-2572.4349272702593,-3987.3273628312436
sparse_0pw_r09_catcma_013114,61,2337.5047975324123,32.78688524590164,1.1757463783605522,1,2337.5047975324123,0.0,-758.1723572500016,0.0
sparse_0pw_r11_island_2024_021423,99,-1485.9986097067597,36.36363636363637,0.9489254437131059,1,762.8328778724934,-2248.831487579252,-1520.1232872651328,-1055.807610272966
