month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r09_hyperband_010009,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r09_catcma_013114,sparse_0pw_r11_island_2024_021423,total
2021-12,105.66527743000285,-439.883273713237,438.257862401984,0.0,0.0,0.0,212.16689104726757,316.2067571660175
2022-01,1431.3315809644946,61.147483956516545,0.0,418.3034712479833,0.0,0.0,223.88431793499967,2134.666854103994
2022-02,373.0532023689184,-297.72372588891835,0.0,0.0,0.0,42.88511647499968,0.0,118.21459295499972
2022-03,-430.7266862315641,-711.4001479284314,0.0,-130.49700520500068,0.0,-260.74758059000067,0.0,-1533.3714199549968
2022-04,283.381169959202,713.0991236930502,0.0,-128.90616132712685,-219.55151221999984,-374.37739342254196,-201.65408330259237,71.99114337999117
2022-05,390.8897807813639,775.7467820255331,0.0,-115.44492543999932,0.0,0.0,-223.00529690190461,828.1863404649932
2022-06,451.40989865990275,218.656707077736,846.4614446923598,-149.43388588365173,0.0,222.94129780000054,292.98286875,1883.0183310963473
2022-07,363.7609093247585,-15.238989267656535,0.0,541.2266534500004,31.53821281989761,222.7834902,-288.90017160000093,855.1701049269991
2022-08,620.0046439391518,669.3951031560575,0.0,-307.0559554852655,480.17875398119645,279.0604133088688,177.75653494999807,1919.3394938500073
2022-09,-675.7853686278577,-1811.772715007582,-173.5644410500002,-514.5854187000009,0.0,-298.2185557596446,-114.5552385601738,-3588.481737705259
2022-10,795.5216980444825,225.33200344368504,0.0,188.25022500517798,169.51874745665694,-228.402486249999,244.99022624999805,1395.2104139500016
2022-11,-399.7106892886894,-28.46589630101085,0.0,-136.0921297500002,-67.77031160481212,152.2301447999999,0.0,-479.8088821445128
2022-12,1558.6809425313147,1618.95712340006,685.6115104999992,217.309921715229,-428.2823438154591,0.0,-167.31544770615605,3484.961706624987
2023-01,-1232.7628008905046,1078.250019098129,-198.3689902643334,735.764751614668,93.39718302543113,0.0,0.0,476.28016258339005
2023-02,-646.3616722745271,1061.3504007357217,0.0,1108.9520347849998,-184.3174127750002,0.0,825.6933516899999,2165.316702161194
2023-03,-1049.8511204047659,1668.4398023411973,1437.2665864088187,0.0,-142.28420653782595,0.0,121.31465682139645,2034.8857186288205
2023-04,-202.29503579153055,-54.661976881914285,0.0,-855.9063082712369,-226.85266114999968,217.09200085373084,760.7075763456553,-361.91640489529505
2023-05,-237.71255168092046,-2592.3772967338723,0.0,917.9694409312272,83.9409273774279,647.1336329018176,437.5326464250094,-743.5132007793108
2023-06,1325.7503913343048,-501.67487002395126,0.0,1618.4839871840554,0.0,-181.4561470205207,348.4610499107607,2609.564411384649
2023-07,629.6577977041329,-2198.3524379620812,0.0,850.8036700449768,-581.7421507366552,-452.39670415499927,904.1071098697583,-847.9227152348675
2023-08,2453.7500869792398,3815.4835102005545,0.0,138.35820027282568,924.7597718024026,0.0,0.0,7332.351569255023
2023-09,-1010.1110496631934,-768.1407338661984,0.0,526.8355997968813,-451.8101174305637,0.0,-198.15971197647292,-1901.386013139547
