month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r05_island_2023_001587,freq_4pw_r09_hyperband_010009,freq_4pw_r11_island_2024_002436,sparse_0pw_r01_smac_018790,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r09_catcma_013114,sparse_0pw_r10_island_2022_000031,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2021-12,113.95461396752913,-323.8534820594939,0.0,1336.3470596764364,0.0,0.0,0.0,0.0,0.0,622.2888739273735,640.1811119330564,0.0,2388.9181774449016
2022-01,1311.631516396027,290.38201720145116,0.0,0.0,-391.35523308999706,1404.8457983558878,1367.2557358044478,0.0,0.0,551.8280266468969,755.3857805249969,1087.0614909000012,6377.035132739713
2022-02,562.2059384323013,-448.72216121230406,0.0,0.0,0.0,0.0,0.0,0.0,193.83082508999973,-431.0117227599994,0.0,-435.5312644500001,-559.2283849000025
2022-03,-638.1562252398179,-1034.1730351201936,0.0,0.0,-575.0384660700029,0.0,-519.8516442000011,0.0,-1133.117675550001,0.0,0.0,-851.5001938149999,-4751.837239995017
2022-04,488.7592959624932,810.4743549764692,0.0,0.0,0.0,0.0,-396.88711147552885,-769.1630698000033,-1394.9184259910733,392.2298134428703,-629.2810551652306,0.0,-1498.7861980500033
2022-05,89.76962351111968,-25.95580513112033,1188.49005732,0.0,0.0,501.7116347849994,0.0,0.0,0.0,722.0447480400003,-369.57284199999634,0.0,2106.4874165250026
2022-06,1152.5411066786007,243.65656335338133,0.0,2909.118436113929,-429.6563953000002,0.0,-484.1646027482935,0.0,788.1492816000009,0.0,979.628624324094,0.0,5159.273014021712
2022-07,614.7429630802858,78.63781388901464,0.0,0.0,0.0,-588.5204546999994,2079.137356050002,189.5208288676306,933.6962480000022,-316.47591530000153,-1198.4769173500035,0.0,1792.2619225369308
2022-08,1081.093031273571,928.3039178832623,0.0,0.0,0.0,0.0,-1201.9877753382943,2057.9105997308143,1178.4443427656483,-1346.7930736649887,763.702440749986,0.0,3460.673483399999
2022-09,-983.4081339985478,-2762.624469015687,0.0,-768.0208543000035,0.0,-999.6266102382817,-2087.276195450008,0.0,-1319.6014222466174,-1136.1000875163554,0.0,0.0,-10056.657772765499
2022-10,901.2999432728566,698.1384605227144,720.4373417092972,0.0,2129.0685848520734,435.000776371492,518.2359506029384,678.7348239127659,-362.0151663317212,682.054913185446,814.7906524999971,1918.1913649999954,9133.937645597856
2022-11,-605.2290739704498,-39.13483003496603,0.0,0.0,0.0,2092.6709103999983,-328.4723713978793,-402.60325086029343,748.0382616000014,909.4498412518356,0.0,3120.0068386000034,5494.72632558825
2022-12,3815.9267367647994,1958.2752961178544,0.0,3830.024605613701,0.0,484.1338705000023,893.640413054158,-1750.2634788499984,0.0,-492.8473043665722,-979.318446767344,1140.3070468984201,8899.87873896502
2023-01,-2667.0760710549775,-1151.8880662694658,6469.132306064997,-1244.5860205539036,0.0,2215.823567264996,4281.552616601362,1908.169858704999,0.0,0.0,0.0,4973.511057479996,14784.639248238003
2023-02,-1893.7261055529214,3129.853187653473,0.0,0.0,0.0,-336.9867604950003,8993.088277550001,-1594.1710840450078,0.0,0.0,7304.773219744988,0.0,15602.830734855532
2023-03,-3319.9895427853253,8247.813411988976,-3091.9977410800457,14492.22064354507,0.0,-1168.731993689998,0.0,1504.7575583010876,0.0,0.0,1827.2695421545945,-3279.233654445178,15212.10822398918
2023-04,-57.08990558174571,1519.7024430062625,0.0,0.0,0.0,1504.9651730555577,-6990.253044514167,-2497.872099355012,2454.936201231823,0.0,10283.044220272874,5072.783696209304,11290.216684324896
2023-05,2867.328643839727,-7166.217453761075,0.0,0.0,-7261.12498038484,0.0,9567.173135479086,-4999.338221490598,9772.98344308258,2100.730542682014,5677.946961698329,-5450.454518840005,5109.027552305218
2023-06,6593.340253082435,-2799.280471901011,0.0,0.0,0.0,-1227.4703316193265,20754.683546595483,0.0,0.0,-2201.6125716705915,-160.92267716239576,-6713.735875554632,14245.001871769966
2023-07,2939.0619389316084,-8016.300437682039,0.0,0.0,0.0,0.0,10887.939885737083,-8416.212911499571,-6455.75492893499,0.0,13523.03158722,1153.316427957398,5615.08156172949
2023-08,8922.500726886046,10550.633058807904,-2753.626866900016,0.0,-3572.704810834965,-981.0074465835316,3449.1069461761117,15992.52583218365,0.0,4383.416948332793,0.0,5750.537851965804,41741.382240033796
2023-09,-5263.960369970736,-3814.22311738385,-3933.129144035013,0.0,12673.327063365872,0.0,14482.90283796038,-22292.625706188413,0.0,-4465.710034648514,0.0,0.0,-12613.418470900273
2023-10,-3936.6299957613464,6240.760419834098,0.0,0.0,0.0,13724.816188150024,0.0,0.0,0.0,0.0,-2117.7093620712662,12910.2415302782,26821.47878042971
2023-11,-1423.9276761756341,-8971.69209074523,0.0,0.0,0.0,0.0,2893.8594002599866,3852.897379390007,-5394.839095800004,0.0,0.0,-7141.950351339076,-16185.652434409949
2023-12,3085.669489950003,-3562.444458275035,0.0,0.0,0.0,10340.24923404999,17116.927080550002,0.0,-1007.336932057346,0.0,-14953.776171600037,-3524.250558799991,7495.037683817585
2024-01,6077.4358760234245,1250.099085526279,0.0,0.0,11141.711807485053,0.0,0.0,0.0,0.0,0.0,-6276.966885622742,-1772.3933865000026,10419.886496912011
2024-02,-902.4334283218184,993.1822335261215,0.0,10956.97257513088,0.0,-5475.958964500004,0.0,15838.419996889841,5591.9234282108455,0.0,17200.17435639992,7753.747167451953,51956.02736478774
2024-03,-12428.082298086418,3774.0765232525296,0.0,-9069.138839801357,-14969.422213210206,7060.263264900003,0.0,16691.24142970005,-7066.650759200005,0.0,-6335.401919600023,-5237.42375624999,-27580.53856829542
2024-04,13540.549588498068,-3855.7953770553904,0.0,0.0,23654.35564616882,-2140.103249799997,0.0,-6165.474240199957,-2312.91010947843,0.0,14042.434450000115,-4462.316088170717,32300.74061996251
