action,strategy,v1_pnl
kept,freq_4pw_r03_catcma_011465,559021.12768919
kept,freq_4pw_r02_hyperband_004678,269168.59735791
kept,freq_4pw_r09_hyperband_010009,207846.83864545
kept,sparse_0pw_r06_hyperband_001552,150796.36800595
kept,sparse_0pw_r11_island_2024_021423,119897.33431863
kept,sparse_0pw_r07_hyperband_019621,118391.60934998
kept,sparse_0pw_r09_catcma_013114,92886.34597401
kept,freq_4pw_r11_island_2024_002436,40842.26769390
kept,sparse_0pw_r10_island_2022_000031,31216.90873861
kept,sparse_0pw_r01_smac_018790,22658.16096808
kept,freq_4pw_r05_island_2023_001587,15760.28980011
kept,sparse_0pw_r12_hyperband_017877,208.20822929
removed,freq_4pw_r06_hyperband_015967,-467507.99670939
removed,sparse_0pw_r05_hyperband_026425,-256883.65401693
removed,sparse_0pw_r02_hyperband_028062,-221603.17618904
removed,freq_4pw_r12_island_2022_020583,-102441.78112088
removed,sparse_0pw_r08_dssv2_027026,-101922.63189687
removed,freq_4pw_r08_catcma_008884,-93710.23226991
removed,sparse_0pw_r03_island_2022_002323,-59981.94461801
removed,sparse_0pw_r04_hyperband_020661,-37236.00066892
removed,freq_4pw_r10_hyperband_019141,-36471.00111424
removed,freq_4pw_r04_catcma_013241,-35144.28975536
removed,freq_4pw_r07_smac_003335,-27748.12437703
removed,freq_4pw_r01_catcma_010978,-25702.50854883
