version,label,strategy_path,config_snapshot,result_artifact,snapshot_dir,reason,final_capital,total_return_pct,profit_factor,max_drawdown_below_start,peak_to_trough_drawdown,total_trades,closed_trades,open_trades,win_rate,exit_distribution
v1_all24,v1 exact all-24 split-RRR portfolio,strategies/archive/filtered_donor_portfolio_post_adr0058_all24_v1.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/strategy_configs/filtered_donor_portfolio_post_adr0058_all24_v1.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v1_all24,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v1_all24,Exact archive of all 24 split-RRR Optuna best-trial donors.,172325.77,1623.26,1.01,-8.58,-90.72,5655,5654,1,29.75,"{'stop_loss': 4036, 'take_profit': 664, 'trailing_stop': 600, 'ttl_expired': 326, 'liquidation': 27, 'unsafe_liquidation_buffer': 1, 'open': 1}"
v2_reduced_risk1,v2 reduced risk-capped cut,strategies/archive/filtered_donor_portfolio_post_adr0058_reduced_v2_risk1.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/strategy_configs/filtered_donor_portfolio_post_adr0058_reduced_v2_risk1.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v2_reduced_risk1,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v2_reduced_risk1,"First drawdown-control cut: seven donors, risk capped at 1.0.",62074.13,520.74,1.1,-2.49,-39.28,3278,3277,1,30.36,"{'stop_loss': 2346, 'take_profit': 550, 'trailing_stop': 240, 'ttl_expired': 118, 'liquidation': 19, 'unsafe_liquidation_buffer': 4, 'open': 1}"
v3_return_first,v3 return-first positive-v1 cut,strategies/archive/filtered_donor_portfolio_post_adr0058_return_first_v3.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/strategy_configs/filtered_donor_portfolio_post_adr0058_return_first_v3.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v3_return_first,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v3_return_first,Return-first branch: keep all v1 net-positive donors with original Optuna risk.,883881.46,8738.81,1.09,-1.36,-62.81,3279,3278,1,31.15,"{'stop_loss': 2323, 'take_profit': 551, 'trailing_stop': 209, 'ttl_expired': 173, 'liquidation': 19, 'unsafe_liquidation_buffer': 3, 'open': 1}"
v4_positive_v3,v4 positive-v3 donor cut,strategies/archive/filtered_donor_portfolio_post_adr0058_return_first_v4_positive_v3.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/strategy_configs/filtered_donor_portfolio_post_adr0058_return_first_v4_positive_v3.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v4_positive_v3,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v4_positive_v3,Minimal cleanup from v3: remove only v3 net-negative donors.,340047.49,3300.47,1.09,-1.36,-58.44,3292,3291,1,31.36,"{'stop_loss': 2322, 'take_profit': 546, 'trailing_stop': 230, 'ttl_expired': 171, 'liquidation': 18, 'unsafe_liquidation_buffer': 4, 'open': 1}"
v5_filtered_v3,v5 filtered-v3 tail-control branch,strategies/archive/filtered_donor_portfolio_post_adr0058_tail_control_v5_filtered_v3.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/strategy_configs/filtered_donor_portfolio_post_adr0058_tail_control_v5_filtered_v3.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v5_filtered_v3,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v5_filtered_v3,Keep all v3 donors and original risk; add one entry-known catalog filter per donor.,1360197.25,13501.97,1.39,-6.79,-39.14,1553,1552,1,34.28,"{'stop_loss': 1043, 'take_profit': 296, 'trailing_stop': 105, 'ttl_expired': 99, 'liquidation': 9, 'open': 1}"
v6_drop_negative_v5,v6 drop v5 net-negative donors,strategies/archive/filtered_donor_portfolio_post_adr0058_tail_control_v6_drop_negative_v5.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/strategy_configs/filtered_donor_portfolio_post_adr0058_tail_control_v6_drop_negative_v5.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v6_drop_negative_v5,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v6_drop_negative_v5,Remove only the two v5 net-negative donors; keep remaining filters and risk.,1098402.88,10884.03,1.48,-17.75,-39.23,1515,1514,1,34.02,"{'stop_loss': 1037, 'take_profit': 299, 'trailing_stop': 106, 'ttl_expired': 63, 'liquidation': 9, 'open': 1}"
v7_apr2026,v7 April-2026 tail-control branch,strategies/archive/filtered_donor_portfolio_post_adr0058_tail_control_v7_apr2026.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/strategy_configs/filtered_donor_portfolio_post_adr0058_tail_control_v7_apr2026.json,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v7_apr2026,docs/archive/candidates/post_adr0058_tail_control_portfolio/backtest_snapshots/v7_apr2026,Start from v6; add four extra filters to the main 2026-04 loss contributors.,866481.95,8564.82,1.9,-6.85,-32.33,935,935,0,34.55,"{'stop_loss': 622, 'take_profit': 189, 'trailing_stop': 64, 'ttl_expired': 55, 'liquidation': 5}"
