month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r09_hyperband_010009,freq_4pw_r11_island_2024_002436,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r09_catcma_013114,sparse_0pw_r10_island_2022_000031,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2021-12,40.070635469999026,-65.67362078709161,1357.2470353570916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331.644050039999
2022-01,642.9015959462429,194.4873725672642,0.0,0.0,0.0,487.3151802964948,0.0,0.0,0.0,989.8446096000008,2314.548758410003
2022-02,-72.56886304500011,-142.9578469750009,0.0,0.0,0.0,0.0,140.92326859499974,-629.1657621000007,0.0,-316.692652709999,-1020.461856235001
2022-03,132.8521391840435,-228.36933667404378,0.0,-394.95831619,-360.4881215700018,0.0,-396.35916931000224,0.0,0.0,-880.9667983300014,-2128.289602890006
2022-04,88.15610447499986,524.7422788100376,-336.81921051003815,0.0,0.0,0.0,0.0,-247.539354409999,-669.8665433099987,0.0,-641.3267249449983
2022-05,-243.8682504470089,87.85071395700892,0.0,0.0,-281.7138942800002,0.0,0.0,0.0,0.0,0.0,-437.7314307700002
2022-06,155.9443139010752,156.88858905000004,1992.702146898925,0.0,0.0,0.0,527.8481108000013,0.0,693.5644787500014,0.0,3526.947639400003
2022-07,174.63428833413602,-9.70133924999925,0.0,0.0,0.0,670.6763603158596,0.0,-595.5047954000001,0.0,0.0,240.10451399999624
2022-08,-509.9510260703142,131.97957210000004,0.0,0.0,0.0,0.0,0.0,-886.2275321296859,0.0,1175.6312816500022,-88.56770444999779
2022-09,-208.23409760000067,-342.37330244999794,0.0,0.0,0.0,0.0,0.0,-610.671690999999,-425.380110299996,0.0,-1586.6592013499935
2022-10,55.13005322779996,310.585284943871,0.0,2043.098560600004,0.0,0.0,0.0,907.9235128783284,0.0,0.0,3316.737411650003
2022-11,-325.8968271126459,-88.0372526373524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2736.3679252,2322.433845450002
2022-12,-385.38834789769555,1102.987804753936,2224.3646028887592,0.0,1313.7658730499988,0.0,0.0,-399.0343689000021,0.0,0.0,3856.6955638949967
2023-01,-447.83432471000077,-219.85966251999923,-659.1470714400004,0.0,0.0,0.0,0.0,0.0,0.0,4140.784190299997,2813.943131629997
2023-02,-510.8127136650018,342.09281764999923,0.0,0.0,0.0,0.0,954.9786817199972,0.0,1730.8059442350072,0.0,2517.0647299400016
2023-03,-326.96360798336946,-338.9932820966384,5808.258942479995,0.0,0.0,0.0,0.0,0.0,0.0,378.64190296960317,5520.943955369591
2023-04,149.1570903484278,-587.9351640984221,0.0,0.0,-929.288767030004,0.0,1172.4118884849977,0.0,2063.510534380011,0.0,1867.8555820850104
2023-05,-987.8972837281067,-1250.3668012453054,0.0,-1089.0119289599843,3378.536143213292,535.2524481649887,0.0,1900.2986734551123,2153.51761605,0.0,4640.328866949996
2023-06,2548.063875725001,418.56666600499864,0.0,0.0,1902.5158987506165,3352.913493194379,0.0,-888.9992171250029,-576.890745929989,2513.9045745700164,9270.074545190018
2023-07,-779.1988437950014,-508.5388642799988,0.0,0.0,0.0,-1539.5269485750086,0.0,0.0,2935.7704751850324,-2213.4889986400076,-2104.983180104984
2023-08,1634.0006280339276,2154.8942546264047,0.0,-1448.4674641149995,-1653.3517722287877,5148.894061143369,0.0,1754.5364592801448,0.0,-1267.328082173863,6323.178084566196
2023-09,-858.7553969389305,1506.3284843298627,0.0,4048.1467552308623,0.0,-4410.291162741907,0.0,0.0,0.0,0.0,285.42867987988757
2023-10,1542.736829043191,-906.3993833781913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9276.767871819997,9913.105317484997
2023-11,603.6319483349992,-325.8261435000005,0.0,0.0,2781.627313079996,0.0,-1904.7235859999976,0.0,0.0,-1448.1541008000063,-293.4445688850094
2023-12,-976.5193027999978,1467.106739200001,0.0,0.0,0.0,0.0,0.0,0.0,-1691.0573083499637,4066.435173400009,2865.965301450048
2024-01,272.9572426500022,-525.9629275414279,0.0,0.0,0.0,0.0,0.0,0.0,-2179.3090005585595,7834.689299299993,5402.374613850007
2024-02,-643.9260699677301,330.7234719124343,5044.035782980893,0.0,0.0,0.0,3035.5443395000057,0.0,-2250.0778107999968,3113.267254074384,8629.56696769999
2024-03,-823.2496453500017,0.0,-3105.977721496137,-4995.80690179997,0.0,0.0,-2407.929470550009,0.0,-2457.0919867999924,-1795.4475374999993,-15585.50326349611
2024-04,1083.519340450012,2829.7160474000007,0.0,-3071.52984367848,0.0,0.0,-781.652878721561,0.0,0.0,-1495.8367767999969,-1435.7841113500253
2024-05,-1434.5110736486272,631.9240294729058,0.0,0.0,4288.14890217569,0.0,-1910.447006100008,0.0,-1983.1091300000064,6834.878143400009,6426.883865299963
2024-06,-203.022877384345,-2879.7678293416357,0.0,0.0,0.0,-3100.7562572239294,0.0,0.0,0.0,0.0,-6183.54696394991
2024-07,890.2737600563585,-1030.530025856349,8454.852437100008,0.0,7063.72271000001,-1938.0576522000072,3263.394802799993,0.0,-2038.0033098000065,-1507.3821922499974,13158.27052985001
2024-08,601.5035130615063,-1364.23462823799,0.0,0.0,-2348.802219423528,-2417.865412400008,0.0,6696.78916715,0.0,-3494.919412249984,-2327.528992100003
2024-09,-2768.5082146260092,-359.91734190085776,6881.641613604846,0.0,-2083.925897099979,3413.099407200016,0.0,0.0,0.0,-2657.065074227959,2425.3244929500565
2024-10,1987.9376655445808,-1091.667977944592,0.0,0.0,0.0,3811.8854854500273,0.0,0.0,0.0,0.0,4708.155173050016
2024-11,-1304.4462617727713,-2219.5795159676873,0.0,0.0,-2282.9778527500057,0.0,0.0,-1559.3858141394048,-5068.855171570136,0.0,-12435.244616200005
2024-12,-1237.5631852394479,-2035.4298805220078,-4295.880766399977,-2095.8139020000126,0.0,3088.6316637101977,0.0,0.0,0.0,-158.30559684880564,-6734.361667300054
2025-01,2520.7105080660453,-556.007731066037,0.0,0.0,-1721.649002499993,0.0,0.0,0.0,-1988.116973549999,9388.422143800017,7643.358944750033
2025-02,7126.088365437445,2934.0557538563266,0.0,10620.92892860624,0.0,0.0,0.0,0.0,-2189.24353289999,0.0,18491.829515000023
2025-03,4769.928390173223,2293.3180717654113,14215.076843761335,-2748.721181200035,0.0,0.0,0.0,0.0,5891.639159700029,7722.690198299994,32143.93148249996
2025-04,-4657.34333999776,2185.840382147739,0.0,0.0,0.0,0.0,24155.487361750027,0.0,0.0,-5590.800224450006,16093.18417945
2025-05,2268.9185198467267,-546.4324223133699,0.0,-4382.110814100004,0.0,11177.629253466563,0.0,0.0,-4523.063826836808,-2796.1687899131857,1198.7719201499222
2025-06,6481.560014305198,70.2393510528293,0.0,0.0,-3925.7203482999953,0.0,0.0,-3158.037288299997,20384.637222628047,5308.786241563967,25161.46519295005
2025-07,3598.8331625499795,-1736.8645090499956,0.0,22848.630191199976,-4616.370278000012,7974.713936999999,0.0,-3841.894165349992,-5578.03693999994,0.0,18649.011398350012
2025-08,3312.0960191000086,6962.701888500019,0.0,0.0,4120.599829099974,-5666.311902200014,0.0,0.0,0.0,23649.61307645005,32378.698910950035
2025-09,5286.553188662612,3587.1224651932057,0.0,0.0,17124.734727939023,23396.93338076088,0.0,18229.207429306432,-14591.850052942187,-900.8226412199008,52131.87849770006
2025-10,-3472.8483332860487,11062.30562212636,0.0,-8836.56988124995,0.0,0.0,0.0,0.0,0.0,23326.847865659725,22079.735273250088
2025-11,-1408.1502420970871,11240.624788175279,0.0,40528.586301699805,0.0,14864.679209800004,0.0,0.0,23980.468901400003,25222.52319137176,114428.73215034977
2025-12,-6271.897867789403,-12161.937817901235,0.0,0.0,-11683.81239479996,-8034.888754609217,0.0,0.0,26314.23339989991,0.0,-11838.303435199909
2026-01,20181.320169645678,20208.886891419308,0.0,0.0,42298.65847773299,72526.84641085187,0.0,81765.31805140042,0.0,0.0,236981.03000105027
2026-02,4931.136888749961,3057.24788510001,0.0,0.0,23365.048519400112,-20110.19015174984,0.0,0.0,0.0,0.0,11243.243141500243
2026-03,9507.254479774205,-14026.275380951143,0.0,0.0,0.0,0.0,0.0,0.0,22554.000784650176,20295.24159600003,38330.221479473264
2026-04,8382.005023986685,-3803.664630149987,0.0,0.0,2802.126555600117,-7712.965591036231,0.0,0.0,0.0,-15945.033883199943,-16277.532524799359
2026-05,12423.337269842998,8675.96778737534,0.0,0.0,-48145.63128758906,29231.732171696724,0.0,-30718.194774876363,82664.07286104947,0.0,54131.28402749911
2026-06,48020.04598343481,16577.289711172067,0.0,0.0,-40974.508479099895,0.0,0.0,112082.00246298585,33399.662317809874,-16267.22523670266,152837.26675960005
