month,freq_4pw_r01_catcma_010978,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r04_catcma_013241,freq_4pw_r05_island_2023_001587,freq_4pw_r06_hyperband_015967,freq_4pw_r07_smac_003335,freq_4pw_r08_catcma_008884,freq_4pw_r09_hyperband_010009,freq_4pw_r10_hyperband_019141,freq_4pw_r11_island_2024_002436,freq_4pw_r12_island_2022_020583,sparse_0pw_r01_smac_018790,sparse_0pw_r02_hyperband_028062,sparse_0pw_r03_island_2022_002323,sparse_0pw_r04_hyperband_020661,sparse_0pw_r05_hyperband_026425,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r08_dssv2_027026,sparse_0pw_r09_catcma_013114,sparse_0pw_r10_island_2022_000031,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2021-12,0.0,127.38520140304777,-96.79842487594692,0.0,0.0,-440.31119545234895,-149.00227209834765,0.0,0.0,0.0,0.0,0.0,0.0,8.755568771709264,879.1908876500069,0.0,0.0,0.0,0.0,0.0,0.0,573.0982998499998,627.0440674031206,0.0,1529.3621326512407
2022-01,-4.0626979257756695,1594.764639689398,355.1740094858267,0.0,0.0,10.309469987340663,-952.5187465417114,1843.992385675,0.0,0.0,-308.19711642999863,-293.3697733999985,1263.7042253274121,414.79204571415363,577.5129010501398,0.0,-331.92557810980395,1237.446510749852,0.0,1001.2283807289568,0.0,897.851653352983,594.851956489997,1011.4483610000008,8913.002626843772
2022-02,0.0,468.2722130687808,-1071.8242634788296,2200.901241630001,0.0,1816.981132691857,2115.0577110894924,0.0,0.0,0.0,0.0,0.0,0.0,-961.296036705712,-163.85431396839735,1000.085270349988,-592.3440948399981,0.0,0.0,0.0,211.067382679999,-1401.5536813522035,0.0,0.0,3621.4925611649783
2022-03,0.0,-748.3694323292527,-710.1786461686971,0.0,0.0,2067.9791389437505,230.9592518633956,-743.5661492100086,0.0,0.0,-652.7490578399995,0.0,0.0,1463.6651456612692,0.0,0.0,853.0168414108152,0.0,0.0,-640.4589583749989,-748.0174154412722,0.0,0.0,-1125.415840630003,-753.1351221150018
2022-04,0.0,1030.8880616617464,2000.2457849581642,0.0,0.0,-409.94848423268377,240.74931165137184,0.0,0.0,0.0,0.0,0.0,0.0,574.0780355718614,0.0,0.0,-1373.3918462019833,-535.1049068497401,-1389.8881393800007,-1229.3762132426955,-2208.587054340498,1199.8671892005607,-1002.6176060761036,0.0,-3103.0858672800005
2022-05,0.0,293.39757068436415,259.86834090424486,0.0,1757.5700065374895,-699.7608473749592,-59.04089742632996,0.0,0.0,0.0,0.0,0.0,847.9544223849986,248.74189064364725,656.4152861199965,-323.7960407900056,0.0,0.0,0.0,0.0,0.0,1220.3704715999988,-1154.7964405884672,0.0,3046.9237626949775
2022-06,-34.01769085000002,1555.4819006488055,438.5142543329242,788.3703146000006,0.0,-508.8960787561458,1750.9318328822185,0.0,4627.594300589112,0.0,0.0,0.0,0.0,-262.5059170623401,238.44278640000093,405.47566525000593,0.0,-813.8780698435249,0.0,0.0,1324.831060600005,0.0,0.0,0.0,9510.344358791062
2022-07,0.0,504.5526116141292,274.6728463457679,0.0,0.0,2859.9700712429094,1454.1235829750863,0.0,0.0,0.0,0.0,0.0,-1003.1064936000028,111.323035820874,-1000.1465131999996,-1057.022953600013,0.0,3543.804633850003,323.0206042628829,0.0,1591.434001700006,199.666172799999,-1038.6812928000045,0.0,6763.610307411637
2022-08,0.0,2295.9258235704847,-115.11252807353603,202.5203765354948,0.0,2719.8435499205552,4448.0996278922385,0.0,0.0,0.0,0.0,0.0,0.0,-2542.378809846026,0.0,1855.2992686500131,0.0,0.0,1902.6498775000048,1612.6886271318606,0.0,-2448.7296101664724,1572.9429418158645,0.0,11503.749144930483
2022-09,-186.9103294949859,-2582.5826037816364,-5215.808655791295,6884.505685200007,0.0,820.97712710766,-1931.17925113862,0.0,0.0,0.0,0.0,0.0,-700.550464562656,-1741.7088632089099,-1718.5033534964296,625.8292681499756,-1484.8296287999913,-2915.800131449999,0.0,1586.4966699588877,-2751.486173836371,0.0,0.0,0.0,-11311.550705144362
2022-10,0.0,2770.576098340913,212.86297600554065,0.0,2100.2394263499154,-1060.2236056471934,-2362.895524835968,6142.671663297275,0.0,596.4320019999993,3889.499864436353,-644.8056041559896,-844.0109962637116,-1573.7046302780645,-396.8542107964005,1668.8306337499837,0.0,1290.2057505728121,1393.7038595624297,666.1252368665823,-997.3840834489412,-664.6094223056696,2244.8125012499863,5284.7624649999925,19716.23439969984
2022-11,0.0,436.5297876312234,-1073.361784811119,-1694.530070350011,0.0,-1707.9131164235798,1882.7371235641413,0.0,0.0,0.0,0.0,0.0,0.0,-2118.768960642768,770.1746350000021,0.0,-1757.1099810000298,0.0,-1769.8579008000004,0.0,1893.0198359999988,5317.104572699996,0.0,7868.817163899989,8046.841304767843
2022-12,0.0,5465.882931505395,5388.43918870628,0.0,0.0,-1577.3930471800159,467.51674156613757,0.0,10155.855742999996,1866.1961526261261,0.0,4198.861577749999,569.0039359999998,-5759.025375166023,-3166.1676093798087,0.0,3084.4446466499644,3677.8840103780485,-1955.5209418999884,-2033.5231686000336,0.0,0.0,-2317.3303221158394,-1642.2987190500105,16422.825744790232
2023-01,0.0,-6004.664070250211,-306.1407828131517,0.0,15307.7408627,-192.16426568871452,-3261.1138367056155,0.0,-2556.189620177314,0.0,0.0,0.0,4899.445028059992,-1594.6493072599894,0.0,4075.243630970025,0.0,9165.54531575,4219.213869034997,5337.093778889988,0.0,0.0,0.0,-3951.244229125009,25138.116373385
2023-02,0.0,-2095.9961669764957,9251.13937485487,-3051.8528452799933,0.0,-5121.979452623969,-1076.525100395033,0.0,0.0,0.0,0.0,0.0,-696.867140655003,809.9496680517341,-6357.610092860043,5429.020202099973,1128.6764008040138,11416.016297400009,0.0,-8519.653322945043,0.0,0.0,14649.354583359982,0.0,15763.672404835002
2023-03,0.0,-4924.330856243408,6650.113226526195,0.0,-2846.6581918499974,-8976.275319343362,-1514.5879214476854,0.0,0.0,0.0,0.0,0.0,-2134.473363309987,-9246.951138419716,-4335.548949154753,6112.894417814967,0.0,0.0,-3856.2489488249903,19486.270459589927,0.0,0.0,3629.4173956076793,0.0,-1956.3791890551347
2023-04,-710.4312962733972,-802.8702708928065,3377.4956476570514,0.0,0.0,-3282.2965567606725,-3391.455814679719,-4129.44728453994,0.0,0.0,0.0,0.0,2214.5375833963103,12297.712137102259,-2340.903038124723,8690.205746454096,5824.030945600013,-11100.25206900313,-3672.2324411900095,8269.475986387115,3952.468905052643,0.0,15118.47521776468,7457.727734890288,37772.241132840056
2023-05,1694.6258162800157,1862.5187875206566,-7010.23933796246,0.0,0.0,-3134.4662243321914,-8208.585251671664,0.0,0.0,0.0,0.0,-6166.548113601427,0.0,4351.507535196925,300.3191446046535,0.0,5667.555199020017,0.0,-9963.507936304439,5299.369866032603,16573.20959479006,4778.745740999972,9708.775738624878,-8530.818380208058,7222.462178989537
2023-06,0.0,10044.973243184199,-19.51706788747333,0.0,0.0,14362.837637609318,-5175.9210101335775,0.0,0.0,-932.9325907949564,0.0,0.0,-1258.9369332647727,-8270.47718583752,10030.05919045208,0.0,0.0,18040.707384225,0.0,-3381.6399693000303,0.0,-3658.73416451796,5568.036546119998,0.0,35348.455079854306
2023-07,0.0,4673.069386357365,-5014.051368371581,0.0,0.0,8674.24373370741,6078.6438251597165,0.0,0.0,0.0,0.0,0.0,0.0,-11721.774856941056,972.5784875366755,-4611.730273544841,-6021.393753496292,18878.261646654675,-14426.838319438517,14367.157795994975,-11140.117037600015,0.0,502.0001498271549,2626.272591936067,3836.3220077817373
2023-08,0.0,17719.89285560217,22745.67588666355,-6056.611050749983,-4626.809608850013,-1857.0690967364603,-2066.6470959257476,-6225.578810685072,0.0,-1097.374722989951,0.0,0.0,-1695.2374414024248,6905.607139774826,0.0,0.0,0.0,7250.98640459774,16118.846956529002,0.0,0.0,-7223.1204609921715,0.0,-5773.056092390043,34119.50486244542
2023-09,0.0,-11853.188725307242,-8395.152918060237,0.0,-5871.222852950045,7509.534462478509,-10134.259282970643,-7511.410451354984,0.0,846.6932177912784,0.0,0.0,0.0,-11457.575991894422,1512.5514896761738,0.0,5582.179868974836,21756.706553838085,-13736.1025861811,-13897.541626020062,0.0,-7946.879106502452,0.0,0.0,-53595.6679484823
2023-10,0.0,-7453.423139261431,14509.776030703324,0.0,0.0,-11196.488755631886,6844.696628400591,0.0,0.0,-4005.6963636624328,0.0,1348.6876799000183,25139.794589976264,11698.638766459962,0.0,13116.363024984837,-2588.5618257809983,0.0,0.0,-8293.932271838257,0.0,0.0,-2828.6660110506346,18831.88967227193,55123.07802547128
2023-11,0.0,-1291.1838610391296,-8147.67836966355,0.0,0.0,10611.076573365091,10718.125693795226,0.0,0.0,0.0,0.0,0.0,0.0,4162.954097529079,4802.030016606974,-7660.549584599785,-6899.197151199972,3912.8203676200246,5320.0135469999805,22487.588847999992,-7449.047689049977,0.0,0.0,-5617.721557668725,24949.23093069523
2023-12,0.0,4866.908945077068,-7249.069146416705,0.0,0.0,25259.920152906638,38934.27161024659,0.0,0.0,0.0,0.0,-6824.191732799982,17642.20280029999,42191.04450915729,-5983.4616728000165,4068.294181099962,-6790.9227735819495,0.0,0.0,2555.3655880813885,0.0,0.0,0.0,0.0,108670.36246127028
2024-01,0.0,9122.71045142306,-4848.564681311219,0.0,0.0,-27554.32810099821,-4469.333983698369,-22016.528067199783,0.0,-2249.310587400048,-12230.163061961915,0.0,0.0,-4806.586635132238,0.0,0.0,0.0,0.0,0.0,34155.72459200009,0.0,0.0,-12135.915423384198,-3130.697955480483,-50162.99345314332
2024-02,0.0,-4429.759511109214,9686.424965183627,0.0,0.0,1379.709484747817,-11806.495058519089,0.0,29584.681761262265,-4019.215139391833,0.0,0.0,0.0,9586.276328813605,0.0,0.0,-9392.4505594381,0.0,28208.97398398153,21041.241748549968,21121.348144009626,0.0,9997.733565899454,14046.838914983073,115005.30862897272
2024-03,0.0,-22199.614390627063,10709.748457646087,0.0,0.0,-36072.21037396767,-25445.312536300396,-13226.287603200391,-17437.065300435374,-2272.1874787828438,-12308.17942120014,0.0,0.0,14937.755581872792,0.0,0.0,0.0,0.0,31798.711040600057,-70651.95603969996,0.0,0.0,-27788.618281899937,0.0,-169955.21634599485
2024-04,0.0,27926.476177869987,11103.542919093281,0.0,0.0,-4068.862259286073,4578.748076401956,39454.88486526997,0.0,0.0,36657.7578105681,0.0,-3065.560348289021,-12846.49205408157,15624.117653100004,13051.80126600005,-7927.946374399965,0.0,-7133.011725837323,18662.549490314177,0.0,0.0,18898.175353532177,0.0,150916.18085025577
2024-05,0.0,-13805.717105986561,12364.290185483113,-11450.89137059995,0.0,12445.454875462572,17196.23766645702,0.0,0.0,-2058.49689777914,0.0,0.0,0.0,-17715.319856550388,20249.381815299967,5164.336060131691,-12426.047375046312,0.0,17767.09500161848,-22495.902554099845,13118.197550507555,0.0,-5482.822873558967,0.0,12869.795121339235
2024-06,0.0,45563.53982710959,-38074.75216333375,0.0,0.0,-19653.1753088614,-1396.1955984359888,0.0,0.0,-5052.349140549468,0.0,0.0,11084.03338516422,50801.91609816313,-14935.160452368298,-15095.356035499764,0.0,-18042.99681310634,-4872.227705179677,20657.94740052969,0.0,0.0,-14133.794500434047,36979.685164602175,33831.114157800075
2024-07,-4110.163082155864,289.52307941554136,12020.471981028706,0.0,0.0,9989.135201607041,-20322.24135086252,0.0,53032.11034734615,0.0,0.0,-22842.920069892967,0.0,-26872.62392421931,-3764.697768391954,-13391.335953491844,0.0,54252.29828363757,11404.66978223106,54554.53599405142,3430.674696712783,0.0,-13782.420781768138,0.0,93887.01643524767
2024-08,-6633.846505727377,-11911.21527122451,-6825.108393459468,0.0,0.0,10578.641587069895,-4266.261054968381,-17264.22713760007,0.0,-6257.8743167187895,0.0,0.0,-14665.44936004561,47773.42062293146,0.0,0.0,15951.581115971914,22764.68349106508,-51657.2529430502,38029.008189838816,0.0,51140.15800294964,-13559.505967699986,0.0,53196.75205933241
2024-09,0.0,14131.340092279548,-28277.459799865363,0.0,0.0,-67118.48755804976,-41607.55320481219,-19599.280089600023,0.0,-3787.011568649984,17663.830540569255,0.0,6780.721478800037,-72774.54732554659,51828.53454011158,7684.439337723063,7141.6561208597595,67983.81243303201,20469.590988893688,6352.6410224888,-51248.38506796342,0.0,0.0,15909.969897406061,-68466.18816232352
2024-10,-8713.09070836365,17271.5476349553,41800.03710452524,0.0,0.0,-7783.870006970523,-8993.459134480236,0.0,0.0,-3045.514269599892,0.0,-11910.50657220004,8127.005444226334,22391.172696106136,-11140.216597348968,0.0,0.0,-14597.110952449995,50879.42049914999,-14019.55253879986,93249.0940566218,0.0,0.0,-1256.0783136829968,152258.87834168866
2024-11,0.0,-54146.83848257312,29961.173470386253,0.0,0.0,31373.119127900256,43552.29896298912,-20438.72597999988,0.0,-4181.073993249919,0.0,0.0,0.0,4582.045651771582,-11952.381820549974,0.0,-15677.533899601169,-19994.461140899934,0.0,-18551.48377500009,0.0,0.0,-41759.70908387624,0.0,-77233.5709627031
2024-12,-28117.676123766876,80856.40801193027,21752.523672259995,-14363.70612419394,0.0,51182.5509362573,-24053.928412364865,-18662.384959599745,-19130.672155599845,-4911.9149425814585,-17376.430315999914,103724.37346979992,0.0,8998.49281356946,4321.228607399931,0.0,0.0,-17326.93822609998,6125.6059272115635,-18249.59113170029,0.0,47315.518242128186,-19917.849012000028,0.0,142165.6102766497
