month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r09_hyperband_010009,freq_4pw_r11_island_2024_002436,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r09_catcma_013114,sparse_0pw_r10_island_2022_000031,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2021-12,187.0931696599992,-170.46571518709146,1357.2470353570916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.8744898299992
2022-01,400.55072627943355,145.96451969880798,0.0,0.0,0.0,491.37224323176366,0.0,0.0,0.0,997.9810874000036,2035.8685766100089
2022-02,-143.31798600987602,-152.55417227512353,0.0,0.0,0.0,0.0,138.5151247800008,-618.2818298999996,0.0,-311.23691382000044,-1086.8757772249987
2022-03,-309.4675312170983,-160.95186270290102,0.0,-389.20013226,-351.8408828700004,-379.11128969500055,-386.8493547449999,0.0,0.0,-859.833178145001,-2837.2542316350014
2022-04,268.31698864477147,741.4565825802345,-304.3632277900075,0.0,0.0,-288.3021043000005,0.0,-223.6783117549996,-605.3131647699955,0.0,-411.88323738999713
2022-05,274.3644355896924,77.10596917530756,0.0,0.0,-259.36106559999973,0.0,0.0,0.0,0.0,0.0,92.10933916500022
2022-06,485.38737256443443,152.70535179999973,1907.012386215776,0.0,0.0,0.0,513.6901248000011,0.0,638.5252114997921,0.0,3697.320446880003
2022-07,454.71930613242694,-9.539457700000185,0.0,0.0,0.0,-234.60167479549483,0.0,-580.2771462500008,897.3374477000001,0.0,527.6384750869313
2022-08,-644.4128965535157,-72.2476759414543,0.0,0.0,0.0,2026.5333246999985,0.0,-854.7783794550273,-429.85118435,1193.9397459500008,1219.182934350002
2022-09,-701.3944857903182,-293.705010759677,0.0,0.0,0.0,0.0,0.0,-681.220314599997,-474.5260300499948,0.0,-2150.845841199987
2022-10,191.4014109864379,778.5487534678819,0.0,2211.520262699999,0.0,0.0,0.0,-315.44383710432334,0.0,0.0,2866.0265900499953
2022-11,-641.5990970989301,-90.60760590107093,0.0,0.0,0.0,-236.75070722097894,0.0,0.0,-505.42865190000674,2816.3339088999996,1341.947846779013
2022-12,61.93336676839675,1319.2587077292478,2161.8104794323544,0.0,1276.821158849996,0.0,0.0,-387.81426779999913,0.0,0.0,4432.009444979995
2023-01,-699.1883382750019,383.81527368000036,-654.83909976,0.0,0.0,1061.2581176449971,0.0,0.0,0.0,2766.1260668999994,2857.1720201899952
2023-02,-348.7321249108039,824.9043791799996,0.0,0.0,0.0,-745.0529403100032,960.439201819994,0.0,1740.7119414750057,0.0,2432.270457254192
2023-03,293.69125343644066,465.8668062332921,5670.359472644339,0.0,0.0,-324.7951720882594,0.0,0.0,0.0,384.5051601362205,6489.627520362033
2023-04,-6.5854281971543145,-62.96267307848075,0.0,0.0,-786.2548986843752,-1030.0696666749968,1176.9932335450003,0.0,4221.751075619819,0.0,3512.871642529812
2023-05,-940.4067089424537,-1650.8728967349555,0.0,-1466.4813643326493,3644.735701595052,535.3991523529814,0.0,1874.5015023107744,2323.2018448750296,0.0,4320.077231123779
2023-06,1166.1544375839526,7.101745921456001,0.0,0.0,2918.28207000731,0.0,0.0,-943.1703351250072,-657.1599287562667,2667.0791312050037,5158.287120836449
2023-07,-374.5728416350096,-958.3823340320489,0.0,0.0,0.0,-1482.425868989999,0.0,0.0,2603.4808263071077,0.0,-211.90021834994968
2023-08,3097.4299075930203,778.3153896458425,0.0,-1452.092887804987,-1656.9416917908602,5012.185811102498,0.0,1817.062185159355,0.0,-1270.0864690081653,6325.872244896703
2023-09,-867.0988973506023,1548.3330673263267,0.0,4058.208702915555,0.0,-4031.884172081248,0.0,0.0,0.0,0.0,707.558700810031
