month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r05_island_2023_001587,freq_4pw_r09_hyperband_010009,freq_4pw_r11_island_2024_002436,sparse_0pw_r01_smac_018790,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r09_catcma_013114,sparse_0pw_r10_island_2022_000031,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2021-12,187.0931696599992,-170.46571518709146,0.0,1357.2470353570916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.8744898299992
2022-01,340.35902711443396,-41.419749191192196,0.0,0.0,0.0,1293.5943617949988,0.0,491.37224323176366,0.0,0.0,740.8794355449955,997.9810874000036,3822.766405895003
2022-02,-162.43104050302844,-172.87775287697315,0.0,0.0,0.0,0.0,0.0,0.0,156.89770187500034,-700.6493303700009,0.0,-352.6931066099996,-1231.7535284850019
2022-03,-350.7915934636401,-182.3974634963625,0.0,0.0,-441.05697601,0.0,-398.739436290002,-429.6335346799988,-438.400388579997,0.0,0.0,-974.4181956050011,-3215.437588125001
2022-04,304.14138422238943,840.1749606974703,0.0,-344.904736339861,0.0,0.0,0.0,-326.72295096000033,0.0,-253.4775248799992,-685.937607259998,0.0,-466.726474519999
2022-05,312.733326473614,90.79252946138642,1022.2039359599992,0.0,0.0,431.4904851649995,0.0,0.0,0.0,0.0,0.0,0.0,1857.220277059999
2022-06,642.8601587906187,202.2405634999993,0.0,2525.8155887788207,0.0,0.0,0.0,0.0,680.374041250001,0.0,845.706640950562,0.0,4896.996993270002
2022-07,602.2990494678347,-12.664685600000666,0.0,0.0,0.0,-519.8013461999994,0.0,-310.741138581422,0.0,-768.5642957000016,1188.5185273,0.0,179.046110686411
2022-08,-828.4931822137594,-92.8845267776974,0.0,0.0,0.0,0.0,0.0,2605.442489350002,0.0,-1098.952513258547,-552.6407012000012,1535.0036485000016,1567.4752143999985
2022-09,-901.7708197374708,-400.143355830376,0.0,0.0,0.0,-1279.3295642321468,0.0,0.0,0.0,-875.8316797999977,-610.0756541999987,0.0,-4067.15107379999
2022-10,234.78708937059628,1026.0701870977273,879.0396325999995,0.0,2612.1815139000014,-231.29018353060698,0.0,0.0,0.0,-354.55815368771937,0.0,0.0,4166.2300857499995
2022-11,-784.4573735253616,-111.67941457463237,0.0,0.0,0.0,1676.8874975999977,0.0,-291.79852190762756,0.0,0.0,-622.9616742000023,3471.2414536500023,3337.2319670423763
2022-12,82.5643485281978,1758.7816029577511,0.0,2882.0194948990475,0.0,0.0,1702.2009974000093,0.0,0.0,-517.0155021000003,0.0,0.0,5908.5509416850055
