offset_days,periods,total_return_pct,max_drawdown_pct,negative_periods,switches
0,24,325.886045440483,-0.98090625789089,2,5
1,24,306.6139631848702,0.0,0,5
2,24,295.6029242638007,-0.4993654600745856,1,5
3,24,292.25667201741635,-0.4993654600745856,1,5
4,24,294.9599189546845,-0.4993654600745856,1,5
5,24,304.69404652080686,-2.5203410514037072,2,5
6,24,310.9594350358745,-1.4692808077214292,1,5
7,24,347.5930491767574,-1.4692808077214403,1,5
8,24,328.7750646946293,-3.799375467651722,1,5
9,24,309.1036336990543,-2.611762674371554,1,5
10,24,305.0054379569657,-3.634328668576259,2,5
11,23,311.10143614618784,-2.0125048092000664,2,4
12,23,314.8202500573849,-0.6343638877635893,1,4
13,23,321.7890089675244,0.0,0,4
14,23,352.4078597176147,-0.1915856312363684,1,4
15,23,369.96921598633713,-0.8149571818726664,2,4
16,23,341.29865249890514,-0.9855461140906964,1,5
17,23,345.04799866909224,-0.9855461140907074,2,5
18,23,332.4705212086021,0.0,0,5
19,23,291.2970547370528,0.0,0,5
20,23,310.1635757045063,-0.0005054734117382,1,5
21,23,305.600430337873,-0.1859324565654629,1,5
22,23,312.6744387448443,-1.718932847398269,2,5
23,23,328.13445711665327,-3.021118374170162,1,5
24,23,289.1708327412722,-3.208991818872886,2,5
25,23,298.0437786538717,-1.828008816496696,3,5
26,23,311.9659195091539,-2.821437875292254,3,5
27,23,290.75130258561484,-0.7917634560252296,1,5
28,23,292.4765210895303,0.0,0,5
29,23,281.2572336711437,-0.98090625789089,2,5
